ID,Category,Item,Format/Spec,Why we need it,Owner,Priority,Status,Notes
10.11,Brand & Content,Press / media coverage list,Text,/press page,B,Nice-to-have,Todo,
10.12,Brand & Content,Initial 4-6 blog posts,Word / Google Doc,Sanity blog seed content,B,Important,Todo,Genetic literacy 101 / how to read a report / etc.
11.1,Pricing & Business Rules,Final price per package (rupees incl. or plus GST),Text,Goes into Package.price (paise),F,Launch-blocker,Partial,Seed has placeholders
11.2,Pricing & Business Rules,Kit shipping fee per package,Number in rupees,Package.kitShippingFee (paise),F,Launch-blocker,Todo,
11.3,Pricing & Business Rules,TAT commitment per package (min and max days),Number pairs,Package.tatMinDays / tatMaxDays,F+M,Launch-blocker,Partial,Seed has placeholders
11.4,Pricing & Business Rules,Refund window and refund cuts,Text policy,Refund policy page + admin enforcement,F+L,Launch-blocker,Drafted,"Drafted in /refunds, needs sign-off"
11.5,Pricing & Business Rules,Counselling session price,Number,Consultation.price (paise),F,Important,Todo,
11.6,Pricing & Business Rules,First 50 customers discount code + value,Text,Coupon row,F+B,Important,Todo,
11.7,Pricing & Business Rules,Pincode opt-in list for launch,List of pincodes,ServiceArea.active = true rows,O,Launch-blocker,Todo,
11.8,Pricing & Business Rules,Coupon strategy (first-order / referral / etc.),Text + values,Coupon rows,F+B,Important,Todo,
12.1,Operational Contacts,Customer care phone number (live answered),E.164 format,Footer + all legal pages + Razorpay,O,Launch-blocker,Todo,Currently placeholder +91 11 4000 0000 everywhere
12.2,Operational Contacts,Customer care email + working mailbox,care@kyg.in,All comms; Google Workspace or Zoho,O,Launch-blocker,Partial,Used in legal pages; mailbox setup pending
12.3,Operational Contacts,Partnerships email,partners@kyg.in,B2B inbound,O,Important,Partial,
12.4,Operational Contacts,Press email,press@kyg.in,Media inbound,O,Nice-to-have,Partial,
12.5,Operational Contacts,Grievance Officer name + designation,Text,DPDP Act 2023 required disclosure,F,Launch-blocker,Todo,
12.6,Operational Contacts,Grievance Officer email,grievance@kyg.in,DPDP Act 2023 required disclosure,F,Launch-blocker,Partial,
12.7,Operational Contacts,Working hours,Text,Footer + contact page,O,Important,Partial,Drafted as Mon-Sat 09:00-19:00 IST
12.8,Operational Contacts,WhatsApp Business number,E.164 format,Razorpay reviewers also check,O,Important,Todo,
13.1,Comms Providers,WhatsApp Business API signup (Gupshup or Wati) with KYC + GST,Account credentials,WhatsApp transactional messages,F,Launch-blocker,Todo,
13.2,Comms Providers,WhatsApp HSM templates submitted,"Template text (Booking confirmed, Kit dispatched, Sample picked up, Report ready, OTP)",WhatsApp approval typically takes 2-5 days,O+E,Launch-blocker,Todo,
13.3,Comms Providers,Facebook Business Verification (WhatsApp display name),Account verification,WhatsApp green tick + higher limits,F,Important,Todo,
13.4,Comms Providers,Sender domain kyg.in verified (SPF DKIM DMARC),DNS records,SendGrid / SES authentication,E,Launch-blocker,Todo,
13.5,Comms Providers,Decide email provider (SendGrid or AWS SES),Text decision,Drives env config,F,Launch-blocker,Todo,
13.6,Comms Providers,SMS sender ID TRAI DLT registration,TRAI registration,Required for transactional SMS templates,F,Important,Todo,
14.1,Domain & Hosting,Domain kyg.in registered in BFG Market Consult name,Registrar screenshot,Domain in personal name is a Razorpay flag,F,Launch-blocker,Todo,
14.2,Domain & Hosting,Domain registrar login or shared access,Account access,DNS management,F,Launch-blocker,Todo,
14.3,Domain & Hosting,Cloudflare account with domain added,Account access,CDN + WAF + DNS,F,Launch-blocker,Todo,
14.4,Domain & Hosting,VPS provider chosen + account (Hetzner / DO / Linode / Lightsail),Account access,Production hosting,F,Launch-blocker,Todo,
14.5,Domain & Hosting,Google Workspace or Zoho Mail for @kyg.in,Account access,care@ grievance@ partners@ press@ mailboxes,F,Launch-blocker,Todo,
15.1,Third-party Accounts,Razorpay merchant account (live mode),Account access,Payments,F,Launch-blocker,Todo,Use submission bundle from section 6
15.2,Third-party Accounts,Cloudflare R2 bucket access,Account access + API token,Report PDF storage,F,Launch-blocker,Todo,
15.3,Third-party Accounts,Mappls account + production API key,Account access,Geocoding,F,Launch-blocker,Partial,Dev key present
15.4,Third-party Accounts,Google Cloud project with prod OAuth client,Account access,Google sign-in,F,Launch-blocker,Partial,Dev OAuth client present; needs prod redirect URI
15.5,Third-party Accounts,Sanity project (production dataset + project ID),Account access,Blog CMS,F,Important,Todo,
15.6,Third-party Accounts,Google Search Console + GA4,Account access,SEO + analytics,F+B,Important,Todo,
15.7,Third-party Accounts,Meta Business Manager (Instagram + Facebook pages),Account access,Marketing,B,Important,Todo,
15.8,Third-party Accounts,Meta retargeting pixel ID,Pixel ID,Retargeting ads,B,Important,Todo,
15.9,Third-party Accounts,Sentry or equivalent,Account access,Error monitoring,E,Important,Todo,
16.1,Insurance,Professional indemnity insurance,Policy,Covers misdiagnosis / report-error claims,F+L,Nice-to-have,Todo,
16.2,Insurance,Cyber-liability insurance,Policy,Covers data breach / DPDP penalties,F+L,Nice-to-have,Todo,
16.3,Insurance,Public liability insurance,Policy,Covers in-person injury (Phase 2 phlebotomist),F+L,Nice-to-have,Todo,
17.1,Internal Engineering,Confirm AUTH_SECRET in .env was never used in production - if yes rotate,Confirmation + new secret,Security,F+E,Important,Todo,
17.2,Internal Engineering,Confirm data in lost Aiven DB - any production data we need to recover,Confirmation,Disaster recovery decision,F,Launch-blocker,Blocked,Aiven hostname returns NXDOMAIN
17.3,Internal Engineering,Report PDF footer policy - customer name + report number on every page?,Decision,Compliance preference,F+L,Important,Todo,
17.4,Internal Engineering,Sample IDs visible to customer in dashboard?,Decision,Privacy / UX preference,F,Important,Todo,
17.5,Internal Engineering,Report retention period beyond account closure,Decision + days,DPDP Act retention statement,F+L,Important,Todo,Current draft says 60 days
